141,125,231,164,1.000000
138,124,228,163,0.981828
133,125,223,164,0.952020
128,125,218,164,0.963889
124,125,214,164,0.946221
118,123,208,162,0.974505
114,123,204,162,0.967435
108,122,198,161,0.968476
104,122,194,161,0.962103
99,121,189,160,0.965379
94,120,184,159,0.971137
90,119,180,158,0.921650
85,118,175,157,0.955518
81,118,171,157,0.942572
75,117,165,156,0.889885
71,117,161,156,0.981900
66,116,156,155,0.981486
61,116,151,155,0.977900
55,116,145,155,0.978401
49,115,139,154,0.986433
43,115,133,154,0.965481
38,114,128,153,0.984571
32,115,122,154,0.976461
26,114,116,153,0.979533
21,115,111,154,0.876016
15,115,105,154,0.972829
10,116,100,155,0.970728
4,118,94,157,0.955710
-2,119,89,158,0.856221
-8,121,84,160,0.717230
-15,122,77,161,0.627003
-20,124,71,163,0.668483
-27,125,64,164,0.640866
-34,126,57,165,0.633923
-37,127,54,166,0.618794
-39,127,53,166,0.617721
-38,128,53,167,0.611117
-40,128,52,167,0.615838
-40,128,52,167,0.612875
-40,128,52,167,0.616010
-40,128,51,167,0.604080
-39,128,52,167,0.608063
-36,127,55,166,0.599114
-35,126,56,165,0.608855
-33,125,58,164,0.618133
-31,124,60,163,0.622790
-28,123,63,162,0.626426
-26,121,65,160,0.640593
-23,121,68,160,0.630384
-21,119,70,158,0.634462
-19,119,72,158,0.643048
-17,117,74,156,0.654079
-14,116,77,155,0.656200
-12,115,79,154,0.686551
-8,113,83,152,0.712374
0,112,90,151,0.750147
5,110,96,149,0.733452
13,108,103,147,0.833093
15,107,105,146,0.815513
20,106,110,145,0.764483
26,105,116,144,0.750800
29,104,119,143,0.756350
35,103,125,142,0.747944
39,103,129,142,0.769383
43,103,133,142,0.808735
50,104,140,143,0.842309
54,104,144,143,0.811798
59,105,149,144,0.814605
59,107,149,146,0.760359
59,108,149,147,0.791972
60,109,150,148,0.770816
59,111,149,150,0.764537
60,112,150,151,0.787453
61,113,151,152,0.772179
63,115,153,154,0.765900
62,116,152,155,0.731992
63,118,153,157,0.778194
62,119,152,158,0.726424
62,120,152,159,0.764838
62,120,152,159,0.778619
63,122,153,161,0.796917
63,123,153,162,0.758015
62,123,152,162,0.747058
63,124,153,163,0.769316
62,124,152,163,0.773082
63,126,153,165,0.746889
63,127,153,166,0.741705
63,127,153,166,0.742827
63,129,153,168,0.727403
63,130,153,169,0.728904
62,131,152,170,0.710106
62,132,152,171,0.730435
61,132,151,171,0.705601
61,134,151,173,0.729765
60,134,150,173,0.749364
60,136,150,175,0.729897
60,136,150,175,0.740945
61,137,151,176,0.759300
62,138,152,177,0.806408
66,139,156,178,0.760305
68,140,158,179,0.752138
70,140,160,179,0.758846
72,142,162,181,0.737665
73,142,163,181,0.735325
74,144,164,183,0.732118
78,145,168,184,0.728263
83,145,173,184,0.778168
88,147,178,186,0.736477
89,147,179,186,0.734122
95,148,185,187,0.775872
98,150,188,189,0.743674
103,150,193,189,0.789472
106,152,196,191,0.739901
110,152,200,191,0.806435
116,153,205,192,0.783366
119,155,208,194,0.716604
122,155,212,194,0.769648
127,156,216,195,0.706596
130,156,219,195,0.792825
134,158,223,197,0.794199
139,158,229,197,0.788087
142,159,232,198,0.754047
147,159,237,198,0.756530
151,160,241,199,0.720281
156,161,246,200,0.706094
160,161,250,200,0.696706
163,162,253,201,0.690770
167,162,257,201,0.750391
171,164,261,203,0.719639
176,165,266,204,0.717583
178,166,268,205,0.695446
184,166,275,205,0.730730
186,167,276,206,0.672978
190,168,280,207,0.726813
194,168,284,207,0.749369
197,170,287,209,0.725279
201,170,291,209,0.718565
206,171,296,210,0.700758
206,172,296,211,0.712361
208,172,298,211,0.712695
207,174,297,213,0.741258
210,172,300,211,0.783262
211,174,301,213,0.719006
211,175,301,214,0.789904
213,175,303,214,0.809163
214,177,305,216,0.793639
216,177,307,216,0.735899
218,178,308,217,0.718205
217,179,307,218,0.689558
216,180,306,219,0.699870
215,182,305,221,0.700184
214,182,304,221,0.696220
213,184,303,223,0.694626
212,185,302,224,0.702491
211,186,301,225,0.685605
210,187,300,226,0.688578
210,189,300,228,0.679216
209,190,299,229,0.642939
209,191,299,230,0.659962
207,192,296,231,0.708220
206,193,296,232,0.681712
205,194,295,233,0.666193
204,195,294,234,0.663080
204,196,294,235,0.683947
202,197,292,236,0.664964
201,197,291,236,0.681403
200,197,290,236,0.657064
